source,uid,category,bucket,download_ok,name,ok_load,watertight,body_count,orig_extents_mm,min_width_raw_mm,suggested_scale,min_width_scaled_mm,max_extent_scaled_mm,thin_axis_scaled_mm,verdict,reason,error,local_path
objaverse,a3e3805be6364321b60159793feb2f66,coconut,compact_blobby,True,coconut/a3e3805b,True,False,446,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-066/a3e3805be6364321b60159793feb2f66.glb
objaverse,d10ab05314a043ff81602b59e0d479a2,coconut,compact_blobby,True,coconut/d10ab053,True,False,29,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-044/d10ab05314a043ff81602b59e0d479a2.glb
objaverse,79d222cb22b244858d0e5694d19bf640,gemstone,compact_blobby,True,gemstone/79d222cb,True,False,23,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-132/79d222cb22b244858d0e5694d19bf640.glb
objaverse,c9229ff7afba4bfb94fd1e9ee126d3d8,gemstone,compact_blobby,True,gemstone/c9229ff7,True,False,10,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-077/c9229ff7afba4bfb94fd1e9ee126d3d8.glb
objaverse,fd312cdeeac34a828b90345479d3b7f8,gemstone,compact_blobby,True,gemstone/fd312cde,True,False,144,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-000/fd312cdeeac34a828b90345479d3b7f8.glb
objaverse,904231517fd644ab8cae9b78544ea029,doorknob,compact_blobby,True,doorknob/90423151,True,False,45,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-027/904231517fd644ab8cae9b78544ea029.glb
objaverse,d586a1c1311a4e7eb204fd9c994f885d,doorknob,compact_blobby,True,doorknob/d586a1c1,True,False,183,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-128/d586a1c1311a4e7eb204fd9c994f885d.glb
objaverse,1e9f54cc9f7d42a697c3caf0db04c27f,doorknob,compact_blobby,True,doorknob/1e9f54cc,True,False,287,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-120/1e9f54cc9f7d42a697c3caf0db04c27f.glb
objaverse,2189104c64c149d6a6db6ebf1a2903c1,pumpkin,compact_blobby,True,pumpkin/2189104c,True,False,1283,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-076/2189104c64c149d6a6db6ebf1a2903c1.glb
objaverse,a3b2b9efdc194d2e84970e099008bc5f,pumpkin,compact_blobby,True,pumpkin/a3b2b9ef,True,False,14,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-099/a3b2b9efdc194d2e84970e099008bc5f.glb
objaverse,2df64ba27a7a4a0b8d00230990b970bc,pumpkin,compact_blobby,True,pumpkin/2df64ba2,True,False,215,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-072/2df64ba27a7a4a0b8d00230990b970bc.glb
objaverse,cba4cee91c0b4b48b0e1e2a988980556,garlic,compact_blobby,True,garlic/cba4cee9,True,False,5548,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-001/cba4cee91c0b4b48b0e1e2a988980556.glb
objaverse,919d746a04c149e8872d3deb78c438b1,garlic,compact_blobby,True,garlic/919d746a,True,False,68,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-121/919d746a04c149e8872d3deb78c438b1.glb
objaverse,a674b04133f545a0a2936767d6cd6bcf,garlic,compact_blobby,True,garlic/a674b041,True,False,438,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-087/a674b04133f545a0a2936767d6cd6bcf.glb
objaverse,628ebafb6ade4c20a193fd51d88c037f,clementine,compact_blobby,True,clementine/628ebafb,True,False,1,"[4616.1, 3063.1, 4445.8]",2996.91,0.0133,40.0,61.6,40.4,accept,"min-width 40.0mm, max-extent 61.6mm, thin-axis 40.4mm at scale 0.013",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-040/628ebafb6ade4c20a193fd51d88c037f.glb
objaverse,7ef1158b735841f4a3f3ecf43aa87c97,clementine,compact_blobby,True,clementine/7ef1158b,True,False,2,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-009/7ef1158b735841f4a3f3ecf43aa87c97.glb
objaverse,1298dfc93c3a43f6bdfc3ed9baabbede,clementine,compact_blobby,True,clementine/1298dfc9,True,False,1,"[13817.7, 13817.7, 13817.7]",13685.56,0.0029,40.0,40.4,40.4,accept,"min-width 40.0mm, max-extent 40.4mm, thin-axis 40.4mm at scale 0.003",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-081/1298dfc93c3a43f6bdfc3ed9baabbede.glb
objaverse,e6e8f0fb21d4420fb39ed7bde8305965,date_(fruit),compact_blobby,True,,,,,,,,,,,reject,,skipped: 28MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-076/e6e8f0fb21d4420fb39ed7bde8305965.glb
objaverse,f3f242f73c7844289bea1fbc73a6e029,date_(fruit),compact_blobby,True,,,,,,,,,,,reject,,skipped: 49MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-011/f3f242f73c7844289bea1fbc73a6e029.glb
objaverse,8657b36b528147f499c26cec5b5e0907,date_(fruit),compact_blobby,True,,,,,,,,,,,reject,,skipped: 55MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-024/8657b36b528147f499c26cec5b5e0907.glb
objaverse,9d3883a011844460b96191033cd2e475,tomato,compact_blobby,True,tomato/9d3883a0,True,False,18,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-131/9d3883a011844460b96191033cd2e475.glb
objaverse,c4b0cb4c231641a3a4c396fdf592b9fe,tomato,compact_blobby,True,tomato/c4b0cb4c,True,False,97,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-055/c4b0cb4c231641a3a4c396fdf592b9fe.glb
objaverse,fbba22b8f51148c3bab4706292d13d47,tomato,compact_blobby,True,tomato/fbba22b8,True,False,308,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-003/fbba22b8f51148c3bab4706292d13d47.glb
objaverse,d42aa6ec1ac04ac6a86fc295a99fbed5,carrot,elongated_rope_stick,True,carrot/d42aa6ec,True,False,20,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-022/d42aa6ec1ac04ac6a86fc295a99fbed5.glb
objaverse,d4ba44ced178428ba41ac835fccde714,carrot,elongated_rope_stick,True,carrot/d4ba44ce,True,False,24,,,,,,,reject,,split() returned no usable parts,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-083/d4ba44ced178428ba41ac835fccde714.glb
objaverse,50412b64aa20474b87e2ed690464cfea,carrot,elongated_rope_stick,True,carrot/50412b64,True,True,4,"[175811.3, 301047.3, 251868.6]",64411.97,0.0004,23.5,110.0,25.7,accept,"min-width 23.5mm, max-extent 110.0mm, thin-axis 25.7mm at scale 0.000",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-011/50412b64aa20474b87e2ed690464cfea.glb
objaverse,2cd60800897648fb8c24c20a30047241,cucumber,elongated_rope_stick,True,cucumber/2cd60800,True,False,606,,,,,,,reject,,split() returned no usable parts,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-050/2cd60800897648fb8c24c20a30047241.glb
objaverse,b12e03ed59304b1b9dbd74d1af97b8d2,cucumber,elongated_rope_stick,True,cucumber/b12e03ed,True,False,28,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-036/b12e03ed59304b1b9dbd74d1af97b8d2.glb
objaverse,85522191fd9841a6849a0ef2e9670d8b,cucumber,elongated_rope_stick,True,cucumber/85522191,True,False,1036,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-074/85522191fd9841a6849a0ef2e9670d8b.glb
objaverse,f8f9773bd1ac48108db724f42316b0e8,zucchini,elongated_rope_stick,True,zucchini/f8f9773b,True,False,18,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-054/f8f9773bd1ac48108db724f42316b0e8.glb
objaverse,84d49dc0a9214b17ad48eda985f80dea,zucchini,elongated_rope_stick,True,zucchini/84d49dc0,True,True,1,"[3267.4, 9288.7, 3404.5]",2188.69,0.0118,25.9,110.0,27.0,accept,"min-width 25.9mm, max-extent 110.0mm, thin-axis 27.0mm at scale 0.012",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-060/84d49dc0a9214b17ad48eda985f80dea.glb
objaverse,ea87c9bbbf4f46cda162b104ce2849e7,zucchini,elongated_rope_stick,True,zucchini/ea87c9bb,True,False,93,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-019/ea87c9bbbf4f46cda162b104ce2849e7.glb
objaverse,f6ef41903e27424a9e5fab584e8db7e7,baguet,elongated_rope_stick,True,baguet/f6ef4190,True,False,55,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-058/f6ef41903e27424a9e5fab584e8db7e7.glb
objaverse,3dc1e779dee34dc98bdbe06b51419ff6,baguet,elongated_rope_stick,True,baguet/3dc1e779,True,False,1704,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-001/3dc1e779dee34dc98bdbe06b51419ff6.glb
objaverse,3b5555f4f2544005ba4b0ea5328def04,baguet,elongated_rope_stick,True,baguet/3b5555f4,True,False,5,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-089/3b5555f4f2544005ba4b0ea5328def04.glb
