uid,category,bucket,download_ok,name,ok_load,watertight,body_count,orig_extents_mm,min_width_raw_mm,suggested_scale,min_width_scaled_mm,max_extent_scaled_mm,thin_axis_scaled_mm,verdict,reason,error,local_path
848e8db6ec734f06ac3920b58905b176,cup,thin_shell_hollow,True,cup/848e8db6,True,False,333,"[2097.6, 3107.6, 2000.0]",1983.11,0.0202,40.0,62.7,40.3,accept,"min-width 40.0mm, max-extent 62.7mm, thin-axis 40.3mm at scale 0.020",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-158/848e8db6ec734f06ac3920b58905b176.glb
4f3edd9bf5fb4b6ab11433cbd9e19c74,cup,thin_shell_hollow,True,cup/4f3edd9b,True,False,6,"[6517.6, 5283.8, 4793.5]",4618.16,0.0087,40.0,56.5,41.4,accept,"min-width 40.0mm, max-extent 56.5mm, thin-axis 41.4mm at scale 0.009",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-055/4f3edd9bf5fb4b6ab11433cbd9e19c74.glb
404abcc8b80349e0b6971b73ed360fd7,teapot,thin_shell_hollow,True,teapot/404abcc8,True,False,4022,"[1543.9, 1311.3, 1428.7]",1311.26,0.0305,40.0,47.1,40.4,accept,"min-width 40.0mm, max-extent 47.1mm, thin-axis 40.4mm at scale 0.031",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-108/404abcc8b80349e0b6971b73ed360fd7.glb
b6cbfcecbb044cd38b9f6f2c36b6d866,teapot,thin_shell_hollow,True,teapot/b6cbfcec,True,False,141,"[1989.6, 1311.3, 2297.2]",1311.26,0.0305,40.0,70.1,44.0,accept,"min-width 40.0mm, max-extent 70.1mm, thin-axis 44.0mm at scale 0.031",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-149/b6cbfcecbb044cd38b9f6f2c36b6d866.glb
b46398a573f44d07b5ea2c5a92042399,teapot,thin_shell_hollow,True,teapot/b46398a5,True,False,2233,"[1698.1, 1311.3, 1698.1]",1311.26,0.0305,40.0,51.8,41.2,accept,"min-width 40.0mm, max-extent 51.8mm, thin-axis 41.2mm at scale 0.031",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-153/b46398a573f44d07b5ea2c5a92042399.glb
c3b6975ec55a46bfbe7bde74bd830cee,teapot,thin_shell_hollow,True,teapot/c3b6975e,True,False,2438,"[1698.1, 1311.3, 1698.1]",1311.26,0.0305,40.0,51.8,41.2,accept,"min-width 40.0mm, max-extent 51.8mm, thin-axis 41.2mm at scale 0.031",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-141/c3b6975ec55a46bfbe7bde74bd830cee.glb
c27e4be8cd0e4146bf7c2884615cf5e3,bowl,thin_shell_hollow,True,bowl/c27e4be8,True,False,12,"[222.2, 98.2, 219.3]",95.78,0.4176,40.0,92.8,40.3,accept,"min-width 40.0mm, max-extent 92.8mm, thin-axis 40.3mm at scale 0.418",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-040/c27e4be8cd0e4146bf7c2884615cf5e3.glb
15b103f822ef4d92a386e95746a9aebe,bowl,thin_shell_hollow,True,bowl/15b103f8,True,False,125,"[7519.7, 3433.0, 7848.2]",3423.71,0.0117,40.0,91.7,42.4,accept,"min-width 40.0mm, max-extent 91.7mm, thin-axis 42.4mm at scale 0.012",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-071/15b103f822ef4d92a386e95746a9aebe.glb
6c558fa5319945f2a40a240c83bafaa7,bowl,thin_shell_hollow,True,bowl/6c558fa5,True,False,8674,,,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-015/6c558fa5319945f2a40a240c83bafaa7.glb
159c37f74abc4d5e856d505e315c7765,bowl,thin_shell_hollow,True,,,,,,,,,,,reject,,skipped: 99MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-142/159c37f74abc4d5e856d505e315c7765.glb
0db01abe3f89440393d3454e16b61f7f,vase,tall_narrow,True,vase/0db01abe,True,False,18629,,,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-001/0db01abe3f89440393d3454e16b61f7f.glb
3b3dc074ec614209a255dd2f7b84f145,vase,tall_narrow,True,vase/3b3dc074,True,False,9,"[75035.5, 35063.7, 80000.0]",34999.63,0.0011,40.0,91.4,40.0,accept,"min-width 40.0mm, max-extent 91.4mm, thin-axis 40.0mm at scale 0.001",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-040/3b3dc074ec614209a255dd2f7b84f145.glb
56281ca6acfc4eeaa4af6e9649c7ab94,vase,tall_narrow,True,,,,,,,,,,,reject,,skipped: 41MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-022/56281ca6acfc4eeaa4af6e9649c7ab94.glb
7f25d5367b464d3283724d7fb3905eef,vase,tall_narrow,True,vase/7f25d536,True,True,1,"[449822.4, 791801.2, 449822.4]",449674.86,0.0001,40.0,70.4,40.0,accept,"min-width 40.0mm, max-extent 70.4mm, thin-axis 40.0mm at scale 0.000",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-120/7f25d5367b464d3283724d7fb3905eef.glb
e95a6f1226f44ecfa761b3ffabdde9a9,flowerpot,thin_shell_hollow,True,flowerpot/e95a6f12,True,True,1,"[207042.5, 163889.1, 207042.5]",163889.06,0.0002,40.0,50.5,40.0,accept,"min-width 40.0mm, max-extent 50.5mm, thin-axis 40.0mm at scale 0.000",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-131/e95a6f1226f44ecfa761b3ffabdde9a9.glb
41b7c648fc0046af987f394ca92120fb,flowerpot,thin_shell_hollow,True,flowerpot/41b7c648,True,False,214,"[2500.0, 197.4, 2500.0]",197.36,0.0912,18.0,228.0,18.1,reject,height/thin-axis 18.1mm < 20mm floor (hard cutoff),,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-077/41b7c648fc0046af987f394ca92120fb.glb
cf8826a16c50499bbf8777dfe218e3db,flowerpot,thin_shell_hollow,True,flowerpot/cf8826a1,True,False,52,"[2860.9, 0.0, 2860.9]",0.0,,,,,reject,,degenerate min-width (flat/zero-volume mesh),/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-104/cf8826a16c50499bbf8777dfe218e3db.glb
12f297af37e9444dae34a02e86c4d36b,flowerpot,thin_shell_hollow,True,flowerpot/12f297af,True,False,2557,,,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-082/12f297af37e9444dae34a02e86c4d36b.glb
f7ab52c4629740489294c89557d8c52a,coffeepot,thin_shell_hollow,True,coffeepot/f7ab52c4,True,False,3652,"[1417.7, 1311.3, 1209.1]",1209.14,0.0331,40.0,46.9,41.1,accept,"min-width 40.0mm, max-extent 46.9mm, thin-axis 41.1mm at scale 0.033",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-156/f7ab52c4629740489294c89557d8c52a.glb
9d02f50339204aceae991da3ae251869,coffeepot,thin_shell_hollow,True,coffeepot/9d02f503,True,False,32,"[77658.7, 32118.9, 31987.9]",24192.97,0.0014,34.3,110.0,39.3,accept,"min-width 34.3mm, max-extent 110.0mm, thin-axis 39.3mm at scale 0.001",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-150/9d02f50339204aceae991da3ae251869.glb
bd32b6a8cb504eeeb75748ab9e40acb0,coffeepot,thin_shell_hollow,True,coffeepot/bd32b6a8,True,False,1242,"[1557.9, 1311.3, 1813.1]",1311.26,0.0305,40.0,55.3,43.6,accept,"min-width 40.0mm, max-extent 55.3mm, thin-axis 43.6mm at scale 0.031",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-153/bd32b6a8cb504eeeb75748ab9e40acb0.glb
04206b246cf7419392e40881212a8010,coffeepot,thin_shell_hollow,True,coffeepot/04206b24,True,False,595,"[92.5, 143.8, 213.9]",92.36,0.4331,40.0,92.7,40.0,accept,"min-width 40.0mm, max-extent 92.7mm, thin-axis 40.0mm at scale 0.433",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-000/04206b246cf7419392e40881212a8010.glb
09f00d174f194ea188e9de71824aafd4,cream_pitcher,thin_shell_hollow,True,cream_pitcher/09f00d17,True,False,15,"[2677.4, 3064.1, 1978.9]",1973.23,0.0203,40.0,62.1,40.1,accept,"min-width 40.0mm, max-extent 62.1mm, thin-axis 40.1mm at scale 0.020",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-113/09f00d174f194ea188e9de71824aafd4.glb
241fe550f61f4a37be945a1dd1b77041,cream_pitcher,thin_shell_hollow,True,cream_pitcher/241fe550,True,False,2901,"[1656.1, 1311.3, 1624.7]",1311.26,0.0305,40.0,50.5,40.0,accept,"min-width 40.0mm, max-extent 50.5mm, thin-axis 40.0mm at scale 0.031",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-065/241fe550f61f4a37be945a1dd1b77041.glb
22ec01ae489a4408a7fd52e6caabb7eb,cream_pitcher,thin_shell_hollow,True,cream_pitcher/22ec01ae,True,False,9,"[3344.9, 5948.4, 4296.1]",3342.04,0.012,40.0,71.2,40.0,accept,"min-width 40.0mm, max-extent 71.2mm, thin-axis 40.0mm at scale 0.012",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-050/22ec01ae489a4408a7fd52e6caabb7eb.glb
e9ca8b2cf047415f87398f98d8b58af2,cream_pitcher,thin_shell_hollow,True,cream_pitcher/e9ca8b2c,True,False,6,"[277.0, 314.7, 209.3]",206.33,0.1939,40.0,61.0,40.6,accept,"min-width 40.0mm, max-extent 61.0mm, thin-axis 40.6mm at scale 0.194",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-000/e9ca8b2cf047415f87398f98d8b58af2.glb
98152e492164485f9c476715c3477565,sugar_bowl,thin_shell_hollow,True,sugar_bowl/98152e49,True,False,46,"[24787.8, 12737.3, 24787.8]",12737.3,0.0031,40.0,77.8,40.0,accept,"min-width 40.0mm, max-extent 77.8mm, thin-axis 40.0mm at scale 0.003",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-108/98152e492164485f9c476715c3477565.glb
b93d03c2f8874bed87583a8dc2e53d77,sugar_bowl,thin_shell_hollow,True,sugar_bowl/b93d03c2,True,False,42,"[200.7, 0.0, 200.7]",0.0,,,,,reject,,degenerate min-width (flat/zero-volume mesh),/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-098/b93d03c2f8874bed87583a8dc2e53d77.glb
f9648345dfbd45419be2fcdc9705edb0,sugar_bowl,thin_shell_hollow,True,sugar_bowl/f9648345,True,False,11,"[20.0, 9.5, 20.0]",9.52,4.2004,40.0,83.9,40.0,accept,"min-width 40.0mm, max-extent 83.9mm, thin-axis 40.0mm at scale 4.200",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-061/f9648345dfbd45419be2fcdc9705edb0.glb
b832262a465f436abdca0b7a152de6fb,sugar_bowl,thin_shell_hollow,True,sugar_bowl/b832262a,True,False,9,"[3553.0, 1699.9, 3553.0]",1699.88,0.0235,40.0,83.6,40.0,accept,"min-width 40.0mm, max-extent 83.6mm, thin-axis 40.0mm at scale 0.024",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-149/b832262a465f436abdca0b7a152de6fb.glb
