name,category,bucket,source_uid,geom_verdict,suggested_scale,prep_ok,fem_gate_pass,fem_tets,collection_status,success_rate,ever_success_rate,sub_yield_frac,episodes_saved,stage,note,timestamp
banana2,banana,unknown,b6361d444ed24591b15b9b28d39ac2e0,accept,0.0204,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:23
amplifier,amplifier,unknown,19cf952615cf48e48ed5d2128eb8b23a,accept,0.0042,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:24
barrel,barrel,unknown,a35bdd1b77124e28a5179715ebc39037,accept,0.0001,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:24
artichoke,artichoke,compact_blobby,907ec92dd9a949e79f4633c3cabb2fa8,accept,0.0859,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:27
backpack,backpack,unknown,0b5f059d4ad346a79e7360f5904cf7cd,accept,0.0039,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:28
bamboo,bamboo,unknown,d0d5eb345ff7420bb7f5c5239fcec637,accept,0.0004,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:29
barge,barge,unknown,b4379858a3224dec8b89f93656ccd156,accept,0.0038,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:30
battery,battery,unknown,bf7360470ba342a1b9a2351a711542d9,accept,0.0006,True,False,17119,,,,,,fem_gate,direct_tet/ratio/tetcount gate failed,2026-09-08 21:12:58
bell,bell,unknown,fc203fd849ea46f0b84d4843ba1aafcd,accept,0.0978,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:59
birthday_cake,birthday_cake,unknown,f058995dd57c445a8e50030702a8dbc6,accept,0.0127,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:03
boiled_egg,boiled_egg,unknown,6e1a6841c5e44dd18554a20cac28c927,accept,0.0039,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:05
bottle_opener,bottle_opener,complex_concave,4ccbb5d870ea4189a5ce53291ddb7921,accept,0.0092,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:05
broccoli,broccoli,unknown,8771813e441a4f34bfc80db529d943f5,accept,0.3177,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:10
basketball_backboard,basketball_backboard,unknown,2f3803f9694b4db88a41d75e37daf75b,accept,9.417,True,True,2742,crashed,,,,,collect,"rc=1, see basketball_backboard_pilot_collect.log",2026-09-08 21:13:29
clementine,clementine,compact_blobby,1298dfc93c3a43f6bdfc3ed9baabbede,accept,0.0029,True,True,3069,crashed,,,,,collect,"rc=1, see clementine_pilot_collect.log",2026-09-08 21:13:30
beer_can,beer_can,kitchen_containers,204f6d75b01f48a7810e00f58cdbfc53,accept,0.0001,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:32
coffeepot,coffeepot,thin_shell_hollow,04206b246cf7419392e40881212a8010,accept,0.4331,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:34
binoculars,binoculars,unknown,6614ffc5235941b9b274af113b0511b2,accept,0.0174,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:35
bob,bob,unknown,2f20d23e80ed432cb5866cab6f0f1461,accept,0.0003,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:38
bottle_cap,bottle_cap,flat_thin,f0edda0b93e146fd83c7318d7f1bc695,accept,0.1121,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:39
briefcase,briefcase,unknown,10f03147643849b99acc31551af6c09d,accept,0.2185,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:41
colander,colander,thin_shell_hollow,0ba23e1b5ca346eea78fb885dd1a59d3,accept,0.4153,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:41
cream_pitcher,cream_pitcher,thin_shell_hollow,22ec01ae489a4408a7fd52e6caabb7eb,accept,0.012,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:43
burrito,burrito,unknown,41196597e7d14b5f8210e075873f3529,accept,0.0047,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:44
cup,cup,thin_shell_hollow,4f3edd9bf5fb4b6ab11433cbd9e19c74,accept,0.0087,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:45
candle,candle,elongated_rope_stick,a21e28fa4fd84438a542539d61be5bc7,accept,0.0042,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:46
cardigan,cardigan,unknown,c9cb359c89aa4ede842e1250d3e04b75,accept,0.0006,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:47
casserole,casserole,unknown,3ff006d296224ad1b8a85ea3bcfc0870,accept,1.1132,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:13:52
chessboard,chessboard,unknown,4252a510f3c8476ab98fe9f99100696e,accept,0.0619,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:14:03
choker,choker,unknown,18f84f3e9ad94bb69f570a437a719aa1,accept,0.1345,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:14:12
alarm_clock,alarm_clock,unknown,badd03bfce2b413f9b2adac9dd12e4ad,accept,0.0106,True,True,2718,crashed,,,,,collect,"rc=1, see alarm_clock_pilot_collect.log",2026-09-08 21:14:45
armband,armband,unknown,569c551891a14f8ba70ed992670e4cd3,accept,0.2959,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:14:46
avocado,avocado,compact_blobby,2903d7855bfb4164ad6749c1c8c5fede,accept,0.3882,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:14:47
alcohol,alcohol,unknown,2884e7f790a64d39b3a9f680d8bfb16d,accept,0.0039,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:14:47
armor,armor,unknown,a739fbc9d88c4daf9f730dd9f6778c68,accept,0.0001,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:14:48
award,award,unknown,2a115610451c4bd58a7f79d11a7bab61,accept,1.9105,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:14:50
flowerpot,flowerpot,thin_shell_hollow,e95a6f1226f44ecfa761b3ffabdde9a9,accept,0.0002,True,True,1660,crashed,,,,,collect,"rc=1, see flowerpot_pilot_collect.log",2026-09-08 21:15:03
flute_glass,flute_glass,tall_narrow,a6d34c9a1bf24146bcfbd91886d7df30,accept,0.0132,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:15:05
funnel,funnel,thin_shell_hollow,0c7b15ee169046c9a3f07329a322b578,accept,0.1216,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:15:08
gravy_boat,gravy_boat,thin_shell_hollow,e6b4fbc8ec404d32a67cc67d574adaec,accept,0.0065,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:15:13
lemon,lemon,compact_blobby,92ed1dee5a3149cc92a862795b87ead4,accept,0.0155,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:15:14
lime,lime,compact_blobby,929a503b845d42918d1fbc372dbf33d0,borderline,7.2544,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:15:14
clementine2,clementine,compact_blobby,1298dfc93c3a43f6bdfc3ed9baabbede,accept,0.0029,True,True,3069,crashed,,,,,collect,"rc=1, see clementine2_pilot_collect.log",2026-09-08 21:15:15
alcohol,alcohol,unknown,2884e7f790a64d39b3a9f680d8bfb16d,accept,0.0039,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:00
tabasco_sauce,Tabasco_sauce,unknown,463023dd24d14b68b368aecb221425c4,accept,0.0034,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:00
armor,armor,unknown,a739fbc9d88c4daf9f730dd9f6778c68,accept,0.0001,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:01
apricot,apricot,unknown,a4c9a503f63e440e8d6d924d4e5c36b1,accept,0.6003,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:01
lego,Lego,unknown,3a4c4e3fd81241ec99e2a9dac838dc31,accept,0.0041,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:02
dixie_cup,Dixie_cup,unknown,1ae882312dc2430785ee4ac48bef35c0,accept,0.2971,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:02
atomizer,atomizer,unknown,d076b147c2214633bb1e821895093039,accept,0.0007,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:03
award,award,unknown,2a115610451c4bd58a7f79d11a7bab61,accept,1.9105,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:03
bait,bait,unknown,645886761a804fa5bfb184d1ec8221b1,accept,0.0928,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:03
apple,apple,compact_blobby,152ca55383b2491e816f5ed5ac127677,accept,0.0023,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:04
bandanna,bandanna,unknown,88d2ef7eab8945eb8f6ecf6a876e0051,accept,0.0227,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:04
baseball_cap,baseball_cap,unknown,4a713326b70a4a32aa7ec6eca918603a,accept,0.1002,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:05
asparagus,asparagus,elongated_rope_stick,e959f4481edf4ed68f5b6067e821cc08,accept,0.0097,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:05
bagel,bagel,unknown,32c0bcf29aee45da8a7bcf7ffe1fd8c1,accept,0.069,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:06
banana2,banana,unknown,b6361d444ed24591b15b9b28d39ac2e0,accept,0.0204,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:07
amplifier,amplifier,unknown,19cf952615cf48e48ed5d2128eb8b23a,accept,0.0042,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:08
barrel,barrel,unknown,a35bdd1b77124e28a5179715ebc39037,accept,0.0001,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:08
artichoke,artichoke,compact_blobby,907ec92dd9a949e79f4633c3cabb2fa8,accept,0.0859,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:11
backpack,backpack,unknown,0b5f059d4ad346a79e7360f5904cf7cd,accept,0.0039,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:12
bamboo,bamboo,unknown,d0d5eb345ff7420bb7f5c5239fcec637,accept,0.0004,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:14
barge,barge,unknown,b4379858a3224dec8b89f93656ccd156,accept,0.0038,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:14
battery,battery,unknown,bf7360470ba342a1b9a2351a711542d9,accept,0.0006,True,False,17119,,,,,,fem_gate,direct_tet/ratio/tetcount gate failed,2026-09-08 21:17:36
bell,bell,unknown,fc203fd849ea46f0b84d4843ba1aafcd,accept,0.0978,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:38
birthday_cake,birthday_cake,unknown,f058995dd57c445a8e50030702a8dbc6,accept,0.0127,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:42
boiled_egg,boiled_egg,unknown,6e1a6841c5e44dd18554a20cac28c927,accept,0.0039,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:44
bottle_opener,bottle_opener,complex_concave,4ccbb5d870ea4189a5ce53291ddb7921,accept,0.0092,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:17:44
